ds,yhat,yhat_lower,yhat_upper,Type
2023-12-19,5112.255455756681,-431.44337287487497,10550.583399587858,Past
2023-12-20,5228.174592919281,12.228893462884121,10372.035091378755,Past
2023-12-21,4738.445882620595,-353.2180351410563,9667.358550037092,Past
2023-12-22,4883.247974606875,-347.34225620039706,10196.266320718789,Past
2023-12-23,4938.5043271462755,-499.945247165999,10091.995776701675,Past
2023-12-24,4325.854925023268,-851.9168123035606,9292.003954255657,Past
2023-12-25,5221.453924407409,312.6046920333566,10659.900554141843,Past
2023-12-26,4997.339102357208,-83.0765047859548,10162.115514497582,Past
2023-12-27,5176.894274985956,-433.48154254937987,10143.04863228847,Past
2023-12-28,4752.476985147143,-213.90578427643536,9845.103480095835,Past
2023-12-29,4962.648632819639,-468.50114606792926,10254.524691075181,Past
2023-12-30,5081.673540132559,-550.1523398689174,10221.610252379525,Past
2023-12-31,4529.531909194169,-494.60214606307443,9933.71293774499,Past
2024-01-01,5480.652362564073,205.07428055213342,10969.48640567968,Past
2024-01-02,5305.646469492602,342.832024991426,10026.321258398499,Past
2024-01-03,5526.490090396856,156.390949169372,10800.2914402272,Past
2024-01-04,5134.297939230334,-15.519319234160644,10347.057368386977,Past
2024-01-05,5366.589838388373,15.03071873805123,10440.397890978418,Past
2024-01-06,5496.821647304868,325.16680915075096,10700.299961887975,Past
2024-01-07,4944.424877624186,25.609404729741836,10043.491782096613,Past
2024-01-08,5883.667376185497,180.76482392793426,11187.233863522008,Past
2024-01-09,5685.079180348001,287.2071688327074,11210.965046789717,Past
2024-01-10,5870.963066522653,638.3989956936957,11236.349649689433,Past
2024-01-11,5433.0606268293,138.41495731094375,10789.936391555308,Past
2024-01-12,5609.8098020183925,306.1498743475262,10740.120970973854,Past
2024-01-13,5675.859377473787,512.5378783995696,10683.08149823453,Past
2024-01-14,5052.084707512702,26.38079814669554,10178.117336852516,Past
2024-01-15,5914.417504272977,785.295278984204,11685.23060765944,Past
2024-01-16,5635.234445663357,483.26975184911004,10659.791702067789,Past
2024-01-17,5738.824954559643,408.0887744232999,10817.881363799193,Past
2024-01-18,5219.009978383279,-57.569456650286625,10244.134547604555,Past
2024-01-19,5316.348830966071,212.8448392178065,10245.624436551687,Past
2024-01-20,5307.600849223933,-154.68070812055396,10682.216583110996,Past
2024-01-21,4615.687456535252,-550.8879698439781,9442.921225618573,Past
2024-01-22,5418.468842741168,14.981168040024428,10913.72247448286,Past
2024-01-23,5090.081400261969,-301.40116167277944,10323.098986357349,Past
2024-01-24,5156.30904805711,143.93704632693624,10357.023794320337,Past
2024-01-25,4612.304471075324,-839.6730414443797,9907.389384703427,Past
2024-01-26,4699.612735824909,-685.0059474944197,10172.02109969668,Past
